aa    a: 
kong    k_h O: N 
kou    k_h o u: 
ku    k_h u: 
kui    k_h u: i:
gui    k u: i:
kuk    k_h U k 
kung    k_h U N 
kut    k_h u: t 
kwaa    k_h_w a: 
kwaak    k_h_w a: k 
kwaan    k_h_w a: n 
kwaang    k_h_w a: N 
kwai    k_h_w a i: 
kwan    k_h_w a n 
kwik    k_h_w I k 
kwok    k_h_w O: k 
kwong    k_h_w O: N
kwui    k_h_w u: i:
kyun    k_h y: n 
kyut    k_h y: t 
laa    l a: 
laai    l a: i: 
laak    l a: k 
laam    l a: m 
laan    l a: n 
laang    l a: N 
laap    l a: p 
laat    l a: t 
laau    l a: u: 
lai    l a i: 
lak    l a k 
lam    l a m 
lan    l a n 
lang    l a N 
lap    l a p 
lat    l a t 
lau    l a u: 
le    l E: 
lei    l e i: 
lek    l E: k 
lem    l E: N 
len    l E: N 
leng    l E: N 
leoi    l eo i: 
leon    l eo n 
leot    l eo t 
li    l i: 
lik    l I k 
lim    l i: m 
lin    l i: n 
ling    l I N 
lip    l i: p 
lit    l i: t 
liu    l i: u: 
lo    l O: 
loe    l oe 
loek    l oe k 
loeng    l oe N 
loi    l O: i: 
lok    l O: k 
lon    l O: n 
long    l O: N 
lou    l o u: 
lu    l u: 
luk    l U k 
lung    l U N 
lyun    l y: n 
lyut    l y: t 
m    m 
maa    m a: 
maai    m a: i: 
maak    m a: k 
maan    m a: n 
maang    m a: N 
maat    m a: t 
maau    m a: u: 
mai    m a i: 
mak    m a k 
man    m a n 
mang    m a N 
mat    m a t 
mau    m a u: 
me    m E: 
mei    m e i: 
men    m E: N 
meng    m E: N 
mi    m i: 
mik    m I k 
min    m i: n 
ming    m I N 
mit    m i: t 
miu    m i: u: 
mo    m O: 
mok    m O: k 
mon    m O: n 
mong    m O: N 
mou    m o u: 
mu    m u: 
mui    m u: i: 
muk    m U k 
mun    m u: n 
mung    m U N 
mut    m u: t 
naa    n a: 
naai    n a: i: 
naak    n a: k 
naam    n a: m 
naan    n a: n 
naap    n a: p 
naat    n a: t 
naau    n a: u: 
nai    n a i: 
nam    n a m 
nan    n a n 
nang    n a N 
nap    n a p 
nau    n a u: 
ne    n E: 
nei    n e i: 
neng    n E: N 
neoi    n eo i: 
neon    n eo n 
ng    N 
ngaa    N a: 
ngaai    N a: i: 
ngaak    N a: k 
ngaam    N a: m 
ngaan    N a: n 
ngaang    N a: N 
ngaap    N a: p 
ngaat    N a: t 
ngaau    N a: u: 
ngai    N a i: 
ngak    N a k 
ngam    N a m 
ngan    N a n 
ngang    N a N 
ngat    N a t 
ngau    N a u: 
ngo    N O: 
ngoi    N O: i: 
ngok    N O: k 
ngon    N O: n 
ngong    N O: N 
ngou    N o u: 
nguk    N U k 
ni    n i: 
nik    n I k 
nim    n i: m 
nin    n i: n 
ning    n I N 
nip    n i: p 
nit    n i: t 
niu    n i: u: 
no    n O: 
noe    n oe 
noek    n oe k 
noeng    n oe N 
noi    n O: i: 
nok    n O: k 
nong    n O: N 
nou    n o u: 
nuk    n U k 
nung    n U N 
nyun    n y: n 
nyut    n y: t 
o    O: 
oi    O: i: 
ok    O: k 
on    O: n 
ong    O: N 
ou    o u: 
paa    p_h a: 
paai    p_h a: i: 
paak    p_h a: k 
paan    p_h a: n 
paang    p_h a: N 
